generation,mean_fitness,max_fitness,min_fitness,std_fitness,best_alpha,best_beta,best_trust
0,267.68,384.0,162.0,81.11163664974342,0.6262916256774892,5.875862566720214,0.054538017652702275
1,350.52,392.0,254.0,33.753956805091754,0.6149842481225926,5.790116585526471,0.04943720022776567
2,358.72,388.0,268.0,23.33327238087277,0.6418987764940036,5.900137326741346,0.049494880740616934
3,353.16,394.0,228.0,34.20664262975833,0.6643792138533169,5.88735047831054,0.036797883639379574
4,365.16,394.0,314.0,20.808036908848464,0.6167758992417051,5.821874305723858,0.051359637107395
5,363.08,392.0,314.0,19.84826440775112,0.5202894605498299,5.797662672075339,0.040940538679065594
6,365.8,392.0,332.0,18.300819653775076,0.4677879588401393,5.835978269394445,0.06542975211084334
7,370.96,394.0,342.0,18.274528721693482,0.5133015405822741,6.028288219913236,0.014122479292381352
8,369.76,392.0,332.0,18.896094834647712,0.4652445977956662,6.046513203192553,0.0019746670076110535
9,363.64,396.0,326.0,19.525122278746426,0.4792985838128519,6.0289852274390014,0.0
10,362.68,396.0,334.0,19.53298748271754,0.4866094113570622,5.877033827130134,0.0
11,368.0,394.0,334.0,18.939904962802743,0.5219304377408174,5.911665877836291,0.0
12,364.12,396.0,320.0,20.705207074550113,0.5106310816192982,5.946921388591678,0.03140477405750023
13,365.12,394.0,338.0,18.569480337370777,0.5483583543890194,5.836038962012897,0.012863056817972954
14,363.52,394.0,330.0,19.01813871018928,0.5313734086384412,6.109681453446533,0.0
15,366.56,392.0,336.0,19.81934408601859,0.4391661278372937,5.911850788847505,0.016139800398737823
16,368.72,394.0,332.0,20.26528065436055,0.43354740732405106,6.544751050272315,0.0
17,368.52,392.0,328.0,20.09899499975061,0.42789254318638453,6.578732852950193,0.0
18,363.52,394.0,318.0,20.417874522094603,0.41334163231791415,6.526032515134354,0.003990888647705501
19,368.2,394.0,342.0,19.346317479044945,0.4860595381429924,5.654764195049399,0.02243404263268464
