generation,mean_fitness,max_fitness,min_fitness,std_fitness,best_alpha,best_beta,best_trust
0,262.36,394.0,158.0,78.0919355631553,0.3708037026447622,6.091220543601809,0.9735545715528227
1,355.64,392.0,294.0,22.114936129231754,0.5338678327755738,6.708483036201457,0.9462571356767825
2,368.04,394.0,340.0,17.253359093231673,0.28836852286475845,5.917569978342227,0.9427343146216776
3,367.4,394.0,338.0,16.16044553841261,0.46464564899184224,6.0862437878794085,0.9601585222621234
4,363.72,396.0,326.0,18.16814795184143,0.48595998714138844,6.764023234474071,0.924924992290227
5,367.04,394.0,332.0,18.818033903678675,0.42327547929297316,6.78627154395034,0.927915540258189
6,366.52,392.0,338.0,17.489699825897528,0.3414191664455503,6.726479209613959,0.9363086014550792
7,367.12,392.0,334.0,17.777108876304943,0.4632608630653385,6.636445671448611,0.9341992045770989
8,366.56,396.0,326.0,18.439262458135357,0.33462980973267026,6.67126689346819,0.957823820747103
9,369.72,392.0,342.0,18.90189408498524,0.4360495925554523,6.568622098205968,0.9370253259453221
10,374.04,396.0,338.0,17.881789619610224,0.3794578427183493,6.6869602007993,0.9411274131380057
11,364.56,394.0,332.0,20.135699640191298,0.46687406442828355,6.657484749412198,0.9449979371694339
12,368.16,394.0,342.0,18.74391634637756,0.3804195549274313,6.529174903235457,0.9664158398727005
13,369.12,394.0,336.0,19.49014109748824,0.4749749006364451,6.574188549560556,0.9325537622903555
14,370.12,396.0,346.0,18.553317762599768,0.32998390611408385,6.410055886877342,0.9951308864077699
15,372.44,396.0,336.0,18.116467646867587,0.5184058861999961,6.577769654332673,0.9499551431222963
16,367.52,394.0,342.0,18.819394251675583,0.4713231672665782,6.4769570943425645,0.9905088322533553
17,367.8,394.0,336.0,19.338045402780498,0.41500995003246277,6.4905713223648975,0.9840525652452028
18,363.72,396.0,320.0,21.01812551109161,0.39118442651166574,6.461210634751529,0.9929222215645286
19,370.0,396.0,342.0,18.06211504780102,0.44157870138587785,6.240082815618893,0.9969002302820364
