rank,agent_id,alpha,beta,trust,fitness
1,972,0.44157870138587785,6.240082815618893,0.9969002302820364,396.0
2,975,0.4040847870874531,6.307467041185363,0.9707150841188508,396.0
3,958,0.40163076665793385,6.81307343423983,0.9952761391212981,394.0
4,974,0.4829461317841902,6.328313262395018,0.9785397875599592,392.0
5,997,0.4658471463107925,6.630837831995495,0.976604898130221,392.0
6,950,0.4340358960648636,6.39735031556653,0.9989449028996626,390.0
7,953,0.27980182303291656,6.458178412873869,1.0,390.0
8,978,0.46617734149314305,6.340958246494266,0.9648013324639875,390.0
9,981,0.30707117061295885,6.3305972532458075,0.9757210248138934,390.0
10,991,0.3795969330923723,6.41830707603649,0.9539519261487417,390.0
11,956,0.3982666925150036,6.700445697152902,0.9802538559100902,388.0
12,959,0.4111318632587153,6.9466604273651,0.9940660678212008,388.0
13,990,0.41561335336144417,6.403272428272445,0.9791377218872404,388.0
14,960,0.46892080337347236,6.573990951264441,0.985904759589826,386.0
15,964,0.4516172675477782,6.450488559924963,0.973246907441564,386.0
16,992,0.43958119099957754,6.388818892845341,0.974558884105733,386.0
17,957,0.43587351057288226,6.886388142875268,1.0,384.0
18,951,0.3654507000046998,6.447382854635917,1.0,382.0
19,986,0.39118143999220845,7.021687967697247,0.9803819573942634,382.0
20,998,0.5107521188166315,6.519596005550062,0.9691193498404831,382.0
